City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bugama,NG,78.85,overcast clouds,4.7341,6.8635,Johnbull polo
1,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
9,Bam,IR,77.32,clear sky,29.106,58.357,Bam Tourist Hotel
11,Caravelas,BR,75.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
12,Rikitea,PF,77.38,few clouds,-23.1203,-134.9692,People ThankYou
13,Arraial Do Cabo,BR,76.32,clear sky,-22.9661,-42.0278,Pousada Porto Praia
18,Ilhabela,BR,78.31,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
20,Faanui,PF,82.2,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
27,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
30,Lorengau,PG,84.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
36,Barra Dos Coqueiros,BR,80.62,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
48,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
53,Saquarema,BR,75.4,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
56,Atuona,PF,78.82,light rain,-9.8,-139.0333,Villa Enata
64,Salalah,OM,81.61,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
65,San Ignacio,BZ,78.94,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
66,Cabinda,AO,75.99,moderate rain,-5.55,12.2,Hotel Maiombe
67,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
70,Hithadhoo,MV,84.83,broken clouds,-0.6,73.0833,Scoop Guest House
72,Tawau,MY,77.13,light rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
77,Butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
87,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
92,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Kuala Kedah,MY,77.0,scattered clouds,6.1,100.3,Artini Homestay
98,Vanimo,PG,85.14,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
107,Burla,IN,80.22,clear sky,21.5,83.8667,VSSUT Guest House
115,Achutupo,PA,77.4,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
130,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
132,Sola,VU,81.16,overcast clouds,-13.8833,167.55,Leumerus Bungalows
138,Bandarbeyla,SO,82.6,few clouds,9.4942,50.8122,JABIR HOTEL
139,Soyo,AO,76.57,light rain,-6.1349,12.3689,Hotel Mpampa
141,Hobyo,SO,83.17,clear sky,5.3505,48.5268,Iftin hotel hobyo
144,Kassala,SD,83.43,clear sky,15.451,36.4,Amassi Hotel Gash
145,Sao Joao Da Barra,BR,76.48,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
149,Santa Vitoria,BR,75.79,scattered clouds,-18.8386,-50.1214,Center Hotel
151,Trairi,BR,76.89,scattered clouds,-3.2778,-39.2689,janelas do mar
155,Dong Xoai,VN,78.53,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
