,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,16.34,90,100,8.25,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,57.65,73,0,6.87,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,33.91,60,20,13.8,few clouds
3,Auki,SB,-8.7676,160.7034,84.15,71,40,3.15,scattered clouds
4,Klaksvik,FO,62.2266,-6.589,41.92,70,99,4.05,overcast clouds
5,Bayir,TR,37.2687,28.2167,46.92,60,0,3.29,clear sky
6,Bluff,NZ,-46.6,168.3333,55.8,67,96,6.53,overcast clouds
7,Ous,RU,60.9058,61.5186,42.66,88,100,4.52,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,55.47,64,78,2.86,broken clouds
9,Charters Towers,AU,-20.1,146.2667,82.36,55,43,11.83,scattered clouds
10,Pevek,RU,69.7008,170.3133,35.1,79,100,16.06,overcast clouds
11,Kapaa,US,22.0752,-159.319,80.58,84,40,12.66,scattered clouds
12,Hilton Head Island,US,32.2163,-80.7526,67.98,80,0,1.01,clear sky
13,Ushuaia,AR,-54.8,-68.3,33.46,75,75,20.71,broken clouds
14,Georgetown,MY,5.4112,100.3354,89.53,78,20,3.44,few clouds
15,Iwaki,JP,37.05,140.8833,63.77,34,100,3.0,overcast clouds
16,Assiniboia,CA,49.6334,-105.9845,48.02,49,62,16.11,broken clouds
17,Grindavik,IS,63.8424,-22.4338,43.27,87,75,2.3,broken clouds
18,Hofn,IS,64.2539,-15.2082,42.51,81,100,1.88,overcast clouds
19,Kiama,AU,-34.6833,150.8667,72.37,88,51,8.99,light rain
20,Busselton,AU,-33.65,115.3333,62.69,60,80,13.94,broken clouds
21,Huarmey,PE,-10.0681,-78.1522,67.12,87,100,8.25,overcast clouds
22,Jamestown,US,42.097,-79.2353,31.59,83,100,11.5,overcast clouds
23,East London,ZA,-33.0153,27.9116,58.46,70,0,6.26,clear sky
24,Cockburn Town,TC,21.4612,-71.1419,75.31,61,4,15.88,clear sky
25,Lethem,GY,3.3803,-59.7968,79.99,73,100,3.18,overcast clouds
26,Hilo,US,19.7297,-155.09,80.28,84,100,9.22,overcast clouds
27,Kharovsk,RU,59.9642,40.1912,22.89,83,43,2.08,scattered clouds
28,Khromtau,KZ,50.2503,58.4347,56.1,56,100,9.91,overcast clouds
29,Bredasdorp,ZA,-34.5322,20.0403,54.21,90,1,0.81,clear sky
30,Margate,GB,51.3813,1.3862,46.69,74,61,4.0,broken clouds
31,Ballina,AU,-28.8667,153.5667,78.78,75,75,13.8,broken clouds
32,Carnarvon,AU,-24.8667,113.6333,73.47,60,24,12.66,few clouds
33,Barra Patuca,HN,15.8,-84.2833,76.62,86,59,6.87,broken clouds
34,Bone,DE,51.9669,12.1396,44.82,87,15,4.36,few clouds
35,Stephenville,US,32.2207,-98.2023,68.25,75,0,8.05,clear sky
36,Mar Del Plata,AR,-38.0023,-57.5575,57.87,53,0,8.05,clear sky
37,Vaini,TO,-21.2,-175.2,80.76,57,40,10.36,scattered clouds
38,Mount Isa,AU,-20.7333,139.5,89.37,43,40,8.05,scattered clouds
39,Katsuura,JP,35.1333,140.3,61.65,60,100,18.48,light rain
40,Yellowknife,CA,62.456,-114.3525,48.72,43,75,10.36,broken clouds
41,Suntar,RU,62.1444,117.6319,35.44,53,93,4.81,overcast clouds
42,Rikitea,PF,-23.1203,-134.9692,77.54,65,0,21.23,clear sky
43,Barrow,US,71.2906,-156.7887,8.62,78,100,17.27,light snow
44,Bilibino,RU,68.0546,166.4372,32.7,94,76,2.98,broken clouds
45,Baculin,PH,7.4525,126.5842,82.92,73,98,4.18,overcast clouds
46,Alofi,NU,-19.0595,-169.9187,82.29,74,75,16.11,broken clouds
47,Ulladulla,AU,-35.35,150.4667,70.77,70,66,7.34,light rain
48,Road Town,VG,18.4167,-64.6167,75.29,60,40,8.05,scattered clouds
49,Victoria,HK,22.2855,114.1577,88.97,82,21,11.01,few clouds
50,Albany,US,42.6001,-73.9662,39.16,63,17,1.99,few clouds
51,Kodiak,US,57.79,-152.4072,45.91,76,0,6.91,clear sky
52,Castro,BR,-24.7911,-50.0119,62.96,88,100,3.89,overcast clouds
53,Port Alfred,ZA,-33.5906,26.891,60.48,66,0,7.27,clear sky
54,Mehamn,NO,71.0357,27.8492,22.95,63,75,29.93,broken clouds
55,Lagoa,PT,39.05,-27.9833,62.47,94,100,32.5,light rain
56,Tiksi,RU,71.6872,128.8694,10.67,87,84,1.77,broken clouds
57,Chuy,UY,-33.6971,-53.4616,57.02,90,0,4.45,clear sky
58,Shellbrook,CA,53.2168,-106.4011,42.03,82,79,4.18,broken clouds
59,Tasiilaq,GL,65.6145,-37.6368,32.16,84,85,6.44,overcast clouds
60,Campbell River,CA,50.0163,-125.2446,48.58,61,75,5.75,broken clouds
61,Arraial Do Cabo,BR,-22.9661,-42.0278,75.58,86,0,21.72,clear sky
62,Qaanaaq,GL,77.484,-69.3632,13.14,65,67,7.96,broken clouds
63,Hobart,AU,-42.8794,147.3294,69.26,80,40,5.75,scattered clouds
64,Arman,RU,59.7,150.1667,37.02,56,100,18.68,overcast clouds
65,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,10.36,clear sky
66,Lavrentiya,RU,65.5833,-171.0,28.26,84,6,5.1,clear sky
67,Nikolskoye,RU,59.7035,30.7861,32.88,70,46,4.29,scattered clouds
68,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,75,12.66,broken clouds
69,Chapais,CA,49.7834,-74.8492,26.38,83,8,11.83,clear sky
70,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,2.3,clear sky
71,Goundam,ML,16.4145,-3.6708,77.07,18,1,8.86,clear sky
72,Karoi,ZW,-16.8099,29.6925,57.96,95,100,5.37,overcast clouds
73,Kailua,US,21.4022,-157.7394,82.38,76,100,10.36,overcast clouds
74,Lebu,CL,-37.6167,-73.65,49.33,75,24,0.67,few clouds
75,Aitape,PG,-3.1374,142.3475,87.01,65,88,7.54,overcast clouds
76,Bilma,NE,18.6853,12.9164,83.93,12,0,8.46,clear sky
77,Ponta Do Sol,PT,32.6667,-17.1,61.43,74,59,6.26,broken clouds
78,Chlorakas,CY,34.8042,32.4083,54.55,71,2,6.91,clear sky
79,Agirish,RU,61.9247,63.0231,41.86,80,67,1.9,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,59.92,87,75,11.5,broken clouds
81,Avarua,CK,-21.2078,-159.775,82.45,83,20,9.22,few clouds
82,San Policarpo,PH,12.1791,125.5072,82.62,83,97,11.88,overcast clouds
83,Wilson,US,36.1501,-86.2833,58.55,79,0,4.61,clear sky
84,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,84,0,10.36,clear sky
85,Longyearbyen,SJ,78.2186,15.6401,3.04,55,75,10.36,broken clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,100,4.61,light snow
87,Severo-Kurilsk,RU,50.6789,156.125,32.94,87,83,22.97,broken clouds
